desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Categories
ksudoku.desktop,數獨遊戲_KSudoku,數獨遊戲,數獨遊戲_KSudoku,Game;
gnome-sudoku.desktop,數獨遊戲_gnome-sudoku,透過數字格子題目來訓練邏輯能力的遊戲,數獨遊戲_gnome-sudoku,Game;
pingus.desktop,企鵝歷險_Pingus,拯救題目要求的企鵝數量即可過關，是訓練邏輯思考的遊戲,企鵝歷險_Pingus,Game;
supertux2.desktop,超級企鵝_SuperTux,類似瑪琍歐的闖關遊戲,超級企鵝_SuperTux,Game;
supertuxkart.desktop,賽車遊戲_Supertuxkart,3D賽車遊戲,賽車遊戲_Supertuxkart,Game;
kapman.desktop,小精靈_Kapman,吃掉所有的豆子，並設法逃避小精靈的追捕，你就可以過關囉！,小精靈_Kapman,Game;
KGoldrunner.desktop,闖關遊戲_KGoldrunner ,尋找金塊，躲避敵人，並解謎，就可以成功闖關！,闖關遊戲_KGoldrunner ,Game;
frozen-bubble.desktop,泡泡龍_Frozen-Bubble,射完所有泡泡即可過關，是練習思考及反應力的遊戲,泡泡龍_Frozen-Bubble,Game;
klickety.desktop,棋盤遊戲_Klickety,棋盤遊戲,棋盤遊戲_Klickety,Game;
kdiamond.desktop,寶石方塊_KDiamond ,把三個相同的寶石連成一線即可得分,寶石方塊_KDiamond ,Game;
ksame.desktop,棋盤遊戲_SameGame,棋盤遊戲,棋盤遊戲_SameGame,Game;
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,Game;
palapeli.desktop,拼圖遊戲_Palapeli,拼圖遊戲,拼圖遊戲_Palapeli,Game;
kubrick.desktop,魔術方塊_Kubrick,立體魔術方塊遊戲,魔術方塊_Kubrick,Game;
ksquares.desktop,連線方塊_KSquares,將線連起來組成方塊,連線方塊_KSquares,Game;
knetwalk.desktop,連線大師_KNetWalk,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_KNetWalk,Game;
knetwork.desktop,連線大師_knetwork,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_knetwork,Game;
klines.desktop,連線遊戲_Kolor Lines,色彩連線益智遊戲,連線遊戲_Kolor Lines,Game;
kmines.desktop,踩地雷_KMines,踩地雷遊戲,踩地雷_KMines,Game;
katomic.desktop,倉庫番_KAtomic,倉庫番式的智力遊戲,倉庫番_KAtomic,Game;
kblackbox.desktop,黑盒子_KBlackBox,黑盒子智力遊戲,黑盒子_KBlackBox,Game;
kbreakout.desktop,打磚塊_KBreakOut,打磚塊遊戲,打磚塊_KBreakOut,Game;
kbounce.desktop,彈力球_KBounce,彈力球遊戲,彈力球_KBounce,Game;
kollision.desktop,躲避球_Kollision,訓練反應的躲避球遊戲,躲避球_Kollision,Game;
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的運動類遊戲,高爾夫球_Kolf,Game;
kdesnake.desktop,吞食蛇_Ksnake,吞食蛇遊戲,吞食蛇_Ksnake,Game;
ktron.desktop,吞食蛇_KSnakeDuel,進階吞食蛇遊戲,吞食蛇_KSnakeDuel,Game;
kigo.desktop,圍棋_Kigo,圍棋遊戲,圍棋_Kigo,Game;
kreversi.desktop,黑白棋_KReversi,黑白棋棋盤遊戲,黑白棋_KReversi,Game;
kfourinline.desktop,四子棋_KfourInLine,四子棋棋盤遊戲,四子棋_KfourInLine,Game;
kbovo.desktop,五子棋_kbovo,五子棋棋盤遊戲,五子棋_kbovo,Game;
bovo.desktop,五子棋_Bovo,五子棋棋盤遊戲,五子棋_Bovo,Game;
kajongg.desktop,麻將遊戲_Kajongg,傳統四人麻將遊戲,麻將遊戲_Kajongg,Game;
kmahjongg.desktop,麻將遊戲_KMahjongg,訓練記憶配對的上海麻將遊戲,麻將遊戲_KMahjongg,Game;
kshisen.desktop,麻將遊戲_Shisen-Sho,訓練記憶配對的四川省麻將遊戲,麻將遊戲_Shisen-Sho,Game;
kiriki.desktop,骰子遊戲_Kiriki,骰子遊戲,骰子遊戲_Kiriki,Game;
kjumpingcube.desktop,骰子遊戲_KJumpingCube,以骰子為主題的策略遊戲,骰子遊戲_KJumpingCube,Game;
lskat.desktop,紙牌遊戲_LSkat,紙牌遊戲,紙牌遊戲_LSkat,Game;
kpat.desktop,紙牌遊戲_KPatience,單人玩的紙牌遊戲,紙牌遊戲_KPatience,Game;
bomber.desktop,戰鬥機_bomber,戰鬥機遊戲,戰鬥機_bomber,Game;
konquest.desktop,銀河征戰_Konquest,銀河戰略遊戲,銀河征戰_Konquest,Game;
kbattleship.desktop,海上戰爭_kbattleship,擊沉船隻的遊戲,海上戰爭_kbattleship,Game;
kspaceduel.desktop,決戰星空_KSpaceDuel ,以星際戰爭為主題的大型遊戲機遊戲,決戰星空_KSpaceDuel ,Game;
killbots.desktop,征服機器人_Killbots,征服機器人遊戲,征服機器人_Killbots,Game;
ksirk.desktop,征服世界_KsirK,征服世界戰略遊戲,征服世界_KsirK,Game;
ksirkskineditor.desktop,征服世界_KsirK Editor,征服世界戰略遊戲的外觀編輯器,征服世界_KsirK Editor,Game;
gnotski.desktop,華容道_gnotski,透過推箱子到目地的方式來訓練邏輯能力的遊戲,華容道_gnotski,Game;
gnotravex.desktop,數字拼圖_gnotravex,透過簡單拼圖遊戲訓練邏輯思考能力,數字拼圖_gnotravex,Game;
pinball.desktop,彈珠台_Pinball,透過彈珠的彈射來得分，是練習專注力及反應力的遊戲,彈珠台_Pinball,Game;
lbreakout2.desktop,打磚塊_lbreakout2,敲完所有的磚塊即過關，是練習專注力及反應力的遊戲,打磚塊_lbreakout2,Game;
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,Game;
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的遊戲,高爾夫球_Kolf,Game;
tuxpuck.desktop,桌上冰球_Tuxpuck,類似冰上曲棍球，是訓練反應力的遊戲,桌上冰球_Tuxpuck,Game;
glchess.desktop,國際象棋_glchess,國際象棋，支持多種引擎，並且具有2D、3D外觀支持。,國際象棋_glchess,Game;
mahjongg.desktop,上海麻將_mahjongg,將不斷掉落的各形狀方塊拼合在一起，是訓練思考及觀察力的遊戲,上海麻將_mahjongg,Game;
gnomine.desktop,踩地雷_gnomine,清除方格陣中隱藏的地雷即過關，是訓練邏輯計算力的遊戲,踩地雷_gnomine,Game;
sol.desktop,接龍遊戲_AisleRiot ,不同類型的接龍遊戲，是訓練思考及觀察力的遊戲,接龍遊戲_AisleRiot ,Game;
#教育,,,,
R.desktop,統計_R,一套統計領域相當出名的軟體,統計_R,Education;
rkward.desktop,統計_RKward,R 的 KDE 前端介面,統計_RKward,Education;
gnumeric.desktop,統計_Gnumeric,統計軟體,統計_Gnumeric,Education;
gcompris.desktop,幼教_GCompris,一套適合二到十歲的教育遊戲，內含電腦、數學、語言等類別,幼教_GCompris,Education;
gcompris-edit.desktop,幼教_GCompris Edit,Gcompris 管理器,幼教_GCompris Edit,Education;
ktouch.desktop,打字練習_KTouch,適合小朋友及電腦初學者練習打字的軟體,打字練習_KTouch,Education;
klavaro.desktop,打字練習_Klavaro,適合小朋友及電腦初學者練習打字的軟體,打字練習_Klavaro,Education;
ktuberling.desktop,馬鈴薯小子_Ktuberling,一款為小朋友設計的語言學習遊戲,馬鈴薯小子_Ktuberling,Education;
anki.desktop,閃示卡記憶_Anki,可插入影音的快閃式字卡練習軟體,閃示卡記憶_Anki,Education;
parley.desktop,語言_Parley,英文字彙訓練的軟體,語言_Parley,Education;
klettres.desktop,語言_KLettres,字母與發音學習程式,語言_KLettres,Education;
kwordquiz.desktop,語言_KWordQuiz,可利用閃卡學習單字的軟體,語言_KWordQuiz,Education;
kanagram.desktop,語言_Kanagram,字母排序遊戲,語言_Kanagram,Education;
khangman.desktop,語言_KHangMan,單字記憶遊戲,語言_KHangMan,Education;
step.desktop,物理_Step,物理模擬軟體,物理_Step,Education;
OpticalRayTracer.desktop,物理光學_OpticalRayTracer,物理光學軟體,物理光學_OpticalRayTracer,Education;
marble.desktop,地理_Marble,學習地理、地圖瀏覽的軟體,地理_Marble,Education;
kgeography.desktop,地理_KGeography,學習地理、地圖瀏覽的軟體,地理_KGeography,Education;
googleearth.desktop,地球儀_Google Earth,結合衛星、圖資與GIS的地球儀軟體,地球儀_Google Earth,Education;
kstars.desktop,天文_KStars,顯示時間、天氣和地理位置的星相軟體,天文_KStars,Education;
stellarium.desktop,天文_Stellarium,即時顯示時間和所在位置的星座軟體,天文_Stellarium,Education;
celestia.desktop,天文_Celestia_gnome,可流暢地顯示高解析度影像的天文軟體,天文_Celestia_gnome,Education;
kbruch.desktop,數學_KBruch,學習計算與分數的軟體,數學_KBruch,Education;
kig.desktop,數學_Kig,用於描繪幾何結構的軟體,數學_Kig,Education;
drgeo.desktop,數學_Dr.Geo,尺規製圖的幾何數理軟體,數學_Dr.Geo,Education;
kmplot.desktop,數學_KmPlot,繪製數學函數的軟體,數學_KmPlot,Education;
geogebra.desktop,數學_GeoGebra,繪製幾何圖形的軟體,數學_GeoGebra,Education;
wxmaxima.desktop,數學_wxMaxima,用LISP編寫的計算機代數系統，用於公式推導和符號計算,數學_wxMaxima,Education;
kalgebra.desktop,數學_KAlgebra,圖形計算器,數學_KAlgebra,Education;
kayali.desktop,數學_Kayali,圖形介面之運算 (Maxima) 及繪圖 (GNUplot) 軟體,數學_Kayali,Education;
geometria.desktop,數學_geometria,繪製幾何圖形,數學_geometria,Education;
rocs.desktop,資料結構分析_Rocs,圖形理論資料結構分析工具,資料結構分析_Rocs,Education;
kalzium.desktop,化學_Kalzium,元素週期表軟體,化學_Kalzium,Education;
bkchem.desktop,化學_BKchem,平面化學分子的繪圖軟體,化學_BKchem,Education;
ghemical.desktop,化學_Ghemical,化學立體分子繪圖軟體,化學_Ghemical,Education;
avogadro.desktop,化學_Avogadro,化學立體分子繪圖軟體,化學_Avogadro,Education;
gchempaint-0.12.desktop,化學_GchemPaint,化學結構編輯軟體,化學_GchemPaint,Education;
pymol.desktop,生化_Pymol,立體分子繪圖及看圖軟體,生化_Pymol,Education;
ballview.desktop,生化_BALLView,3D分子建模生化軟體,生化_BALLView,Education;
#程式開發,,,,
scratch.desktop,程式設計_Scratch,一套圖形化程式設計軟體，適合8歲以上的中小學生作為學習程式設計的入門軟體,程式設計_Scratch,Development;
greenfoot.desktop,程式設計_Greenfoot,一套圖形化程式設計軟體，適合學習  JAVA 程式語言設計的入門軟體,程式設計_Greenfoot,Development;
alice.desktop,程式設計_Alice,圖形化 3D 動畫程式設計 ,程式設計_Alice,Development;
kturtle.desktop,程式設計_KTurtle,適合用於小朋友學習寫程式的入門軟體,程式設計_KTurtle,Development;
squeak.desktop,程式設計_Squeak,適合用於小朋友學習寫程式的入門軟體,程式設計_Squeak,Development;
geany.desktop,整合開發環境_Geany,多功能的整合開發環境編輯軟體,整合開發環境_Geany,Development;
#自由教材,,,,
openc.desktop,無限延伸的自由世界,自由內容、自由教材及公共版權的考題補給站相關介紹,自由教材網,Opencontent;
phet.desktop,動畫模擬教學_PhET,PhET包含了物理生物化學地球科學數學等100多個動畫模擬教學範例,動畫模擬教學_PhET,Opencontent;
usgs.desktop,地震動畫教學_USGS,這是美國地質調查局USGS所製作的地震動畫教學範例,地震動畫教學_USGS,Opencontent;
npa.desktop,物理動畫教學_Flash Animations for Physics,物理動畫教學適合國高中以上的物理課程，例如向量波力學等教學動畫,物理動畫教學_Flash Animations for Physics,Opencontent;
chemical_struct.desktop,化學構造資料庫_Chemical Structure,化學構造資料庫依照官能基將有機分子分類，適合高中及大學化學生物等課程,化學構造資料庫_Chemical Structure,Opencontent;
#教師工具,,,,
Open-Sankore.desktop,電子白板_Open Sankore,一套開放源碼互動式電子白板軟體,電子白板_Open Sankore,Tutorial;
jclic.desktop,教學設計_jClic,JClic 是一個電腦教學應用軟體，用於設計不同類型的教育活動，如拼圖，關聯，文字練習，填字遊戲等,教學設計_jClic,Tutorial;
jclicauthor.desktop,教學設計_jClic Author,JClic 是一個電腦教學應用軟體，用於設計不同類型的教育活動，如拼圖，關聯，文字練習，填字遊戲等,教學設計_jClic Author,Tutorial;
jclicreports.desktop,教學設計_jClic Report Server,JClic 是一個電腦教學應用軟體，用於設計不同類型的教育活動，如拼圖，關聯，文字練習，填字遊戲等,教學設計_jClic Report Server,Tutorial;
ardesia.desktop,桌面畫筆_Ardesia,可錄製桌面塗鴉的軟體,桌面畫筆_Ardesia,Tutorial;
curtain.desktop,布幕程式_Curtain,模擬背景，布幕的軟體,布幕程式_Curtain,Tutorial;
spotlighter.desktop,聚光燈_Spotlighter,顯示和移動聚光燈的軟體,聚光燈_Spotlighter,Tutorial;
easystroke.desktop,滑鼠手勢_Easystroke,可設定滑鼠手勢來執行電腦相關作業的軟體,滑鼠手勢_Easystroke,Tutorial;
qjoypad.desktop,搖桿模擬器_QJoyPad,將 USB 搖桿上的按鍵直接對映到鍵盤按鍵的軟體,搖桿模擬器_QJoyPad,Tutorial;
wiican.desktop,Wiimote設定_Wiican,Wiimote 連線及快速鍵設定的軟體,Wiimote設定_Wiican,Tutorial;
wminput.desktop,Wii 手把設定_Wminput,Ｗiimote 手把連線設定軟體,Wii 手把設定_Wminput,Tutorial;
samba.desktop,網路芳鄰_samba,快速設定網路芳鄰的程式,網路芳鄰_samba,Tutorial;
lampp.desktop,教學伺服器_lampp,可以讓你快速安裝教學伺服器的安裝程式,教學伺服器_lampp,Tutorial;
italc.desktop,螢幕廣播_iTALC,iTALC 是一個可以用於電腦教室螢幕廣播與監控的軟體,螢幕廣播_iTALC,Tutorial;
#附屬應用程式,,,,
kate.desktop,文字編輯_Kate,常用文字編輯軟體,文字編輯_Kate,Utility;
gvim.desktop,文字編輯_Gvim,vim 文字編輯器,文字編輯_Gvim,Utility;
knotes.desktop,螢幕便利貼_KNotes,在螢幕上貼便條,螢幕便利貼_KNotes,Utility;
kcalc.desktop,計算機_KCalc,KDE 上的計算機軟體,計算機_KCalc,Utility;
kmag.desktop,放大鏡_KMag,放大螢幕的某部份,放大鏡_KMag,Utility;
kvkbd.desktop,虛擬鍵盤_Kvkbd,可以呼叫出系統的虛擬鍵盤來使用,虛擬鍵盤_Kvkbd,Utility;
kmousetool.desktop,滑鼠工具_KMousetool,幫您重覆點擊避免手腕傷害,滑鼠工具_KMousetool,Utility;
synaptiks.desktop,觸控板設定_Synaptiks,筆電觸控版的管理程式,觸控板設定_Synaptiks,Utility;
ark.desktop,壓縮工具_Ark,可以壓縮和解壓縮的軟體,壓縮工具_Ark,Utility;
7zip.desktop,壓縮工具_7zip,跨平台壓縮和解壓縮的軟體，可以避免在解壓縮時，因為不同平台而出現中文檔名亂碼的問題,壓縮工具_7zip,Utility;
klipper.desktop,剪貼簿_Klipper,KDE 上強大的剪貼簿軟體,剪貼簿_Klipper,Utility;
akonaditray.desktop,系統工具_Akonaditray,系統工具管理程式,系統工具_Akonaditray,Utility;
tomboy.desktop,筆記_Tomboy,類似便利貼，可用來記事的軟體,筆記_Tomboy,Utility;
gedit.desktop,文字編輯_gedit,文字檔編輯軟體,文字編輯_gedit,Utility;
gnome-screenshot.desktop,螢幕截圖_screenshot,可將桌面或使用中的視窗截取為圖片的軟體,螢幕截圖_screenshot,Utility;
gcalctool.desktop,計算機_gcalctool,進行數字、科學或金融的計算,計算機_gcalctool,Utility;
convertall.desktop,單位換算_ConvertAll,單位換算軟體,單位換算_ConvertAll,Utility;
python-whiteboard.desktop,電子白板_Whiteboard,wiimote 白板用的定位軟體,電子白板_Whiteboard,Utility;
gnome-terminal.desktop,終端機_Terminal,使用命令列來執行相關作業,終端機_Terminal,Utility;
posterazor.desktop,分割列印_PosteRazor,可將大圖片或海報，分割各種尺寸的軟體,分割列印_PosteRazor,Utility;
simple-scan.desktop,簡易掃瞄_Simple Scan,用於掃描文件的軟體,簡易掃瞄_Simple Scan,Utility;
xsane.desktop,掃瞄器軟體_XSane,在Linux 下的支援多種掃瞄器驅動的軟體,掃瞄器軟體_XSane,Utility;
#ezgo工具箱,,,,
my_ezgo.desktop,我的 ezgo,可清楚的看到硬體、網路、可移除裝置及系統等相關資訊,我的 ezgo,myezgo;
ezgo_center.desktop,ezgo 服務中心,ezgo 相關服務連結,ezgo 服務中心,myezgo;
ezinstall.desktop,ezgo 軟體中心,可以新增移除 ezgo 特別整理的軟體,ezgo 軟體中心,myezgo;
media_install_force.desktop,安裝多媒體套件,安裝常用的多媒體套件，例如 Adobe Flash Player 等,安裝多媒體套件,myezgo;
update_ezgo.desktop,ezgo 更新程式,將 ezgo 進行程式更新,ezgo 更新程式,myezgo;
recover.desktop,使用者還原設定,還原使用者在 ezgo 下的環境設定,使用者還原設定,myezgo;
skel.desktop,還原 ezgo 初始設定,將您的 ezgo 還原至安裝時的初始設定,還原 ezgo 初始設定,myezgo;
#系統,,,,
freefilesync.desktop,檔案備份_FreeFileSync,很好用的檔案與資料夾同步備份軟體,檔案備份_FreeFileSync,System;
realtimesync.desktop,即時同步_RealTimeSync,很好用的檔案與資料夾同步備份軟體,即時同步_RealTimeSync,System;
muon-installer.desktop,Muon 軟體中心,用於新增移除軟體的軟體中心,Muon 軟體中心,System;
muon.desktop,Muon 套件管理員,用於新增移除軟體及程式套件的軟體中心,Muon 套件管理員,System;
usb-creator-gtk.desktop,開機碟製作_usb-creator-gtk,開機碟製作程式,開機碟製作_usb-creator-gtk,System;
usb-creator-kde.desktop,開機碟製作_usb-creator,開機碟製作程式,開機碟製作_usb-creator,System;
unetbootin.desktop,開機碟製作_UNetbootin,開機碟製作程式,開機碟製作_UNetbootin,System;
partitionmanager.desktop,磁碟分割_KDE Partition Manager,可以輕鬆的管理您的磁碟、分割區與檔案系統,磁碟分割_KDE Partition Manager,System;
konsole.desktop,終端機_Konsole,KDE 上的終端機模擬程式,終端機_Konsole,System;
dolphin.desktop,檔案總管_Dolphin,類似 Windows 下的檔案總管，可查看及管理資料夾中的檔案,檔案總管_Dolphin,"Utility;Qt;KDE;System;FileTools;FileManager;"
krandrtray.desktop,螢幕設定_KrandRTray,可調整螢幕大小及相關設定,螢幕設定_KrandRTray,System;
my-computer.desktop,系統資訊_My Computer,可清楚的看到硬體、網路、可移除裝置及系統等相關資訊,系統資訊_My Computer,System;
ksystemlog.desktop,系統紀錄_KsystemLog,完整的系統紀錄列表,系統紀錄_KsystemLog,System;
ksysguard.desktop,系統監視器_Ksysguard,顯示系統軟體執行現況,系統監視器_Ksysguard,System;
kinfocenter.desktop,硬體資訊_Kinfocenter,顯示硬體相關資訊,硬體資訊_Kinfocenter,System;
jockey-kde.desktop,額外驅動程式_jockey-kde,可以檢視及安裝額外的驅動程式,額外驅動程式_jockey-kde,System;
nepomukbackup.desktop,備份工具_Nepomuk Backup,系統備份工具,備份工具_Nepomuk Backup,System;
nepomukcontroller.desktop,備份工具_Nepomuk Controller,系統備份主控台,備份工具_Nepomuk Controller,System;
#設定,,,,
systemsettings.desktop,系統設定_System Settings,類似 Windows 下的控制台，可以進行 ezgo 各項系統環境設定,系統設定_System Settings,Settingsmenu;
hime-setup.desktop,輸入法設定_hime ,中文輸入法相關設定,輸入法設定_hime ,Settingsmenu;
qtconfig-qt4.desktop,Qt 4 設定_qtconfig-qt4,Qt 4 相關設定,Qt 4 設定_qtconfig-qt4,Settingsmenu;
xinput_calibrator.desktop,觸控螢幕設定_Calibrate Touchscreen,觸控螢幕相關設定,觸控螢幕設定_Calibrate Touchscreen,Settingsmenu;
#ezgomenu end,,,,
